host,country,isolation,collection_date
Aedes aegypti,Singapore,,2016/09/06
Aedes aegypti,Singapore,,2016/09/06
Aedes aegypti,Singapore,,2016/09/06
Aedes aegypti,Singapore,,2016/09/06
Aedes aegypti,Singapore,,2016/09/07
Aedes aegypti,Singapore,,2016/09/07
Aedes albopictus,Singapore,,2016/09/05
Aedes aegypti,Singapore,,2016/09/07
Homo sapiens,Singapore,,2016/05/13
Aedes aegypti,USA,pooled insects,2016/08/22
Aedes aegypti,USA,pooled insects,2016/08/23
Aedes aegypti,USA,pooled insects,2016/08/23
Aedes aegypti,USA,pooled insects,2016/09/04
Aedes aegypti,USA,pooled insects,2016/09/09
Aedes aegypti,USA,pooled insects,2016/09/20
Aedes aegypti,USA,pooled insects,2016/10/05
Homo sapiens,Colombia,blood,2015/10/07
Homo sapiens,Brazil,blood,2015
Homo sapiens,Guatemala,,2016/07/21
Homo sapiens,Honduras,,2016/02/03
Homo sapiens,Honduras,,2016/03/29
Homo sapiens,Honduras,,2016/05/10
Homo sapiens,Honduras,,2016
Homo sapiens,Mexico,,2016/07/06
Homo sapiens,Mexico,,2016/05/09
Homo sapiens,Mexico,,2016/05/17
Homo sapiens,Mexico,,2016/05/20
Homo sapiens,Mexico,,2016/05/26
Homo sapiens,Mexico,,2016/05/25
Homo sapiens,Mexico,,2016/07/07
Homo sapiens,Mexico,,2016/07/05
Homo sapiens,Mexico,,2016/07/05
Homo sapiens,Mexico,,2016/07/07
Homo sapiens,Mexico,,2016/07/07
Homo sapiens,Mexico,,2016/07/05
Homo sapiens,Mexico,,2016/07/01
Homo sapiens,Mexico,,2016/06/30
Homo sapiens,Nigeria,"kidney,abdominal cavity",1968/09/09
Homo sapiens,Nicaragua,,2016/08/05
Homo sapiens,Nicaragua,,2016/08/19
Homo sapiens,Nicaragua,,2016/07/25
Homo sapiens,Nicaragua,,2016/07/19
Homo sapiens,Nicaragua,,2016/08/29
Homo sapiens,Panama,,2015/12/11
Homo sapiens,Panama,brain,2015/12/11
Homo sapiens,Panama,brain,2015/12/11
Homo sapiens,Brazil,,2016/07/10
Homo sapiens,Brazil,,2016/04/18
Homo sapiens,Brazil,,2016/03/10
Homo sapiens,Brazil,,2016/04/24
Homo sapiens,Brazil,,2016/04/24
Homo sapiens,Brazil,,2016/04/18
Homo sapiens,Brazil,,2016/02/16
Homo sapiens,Cape Verde,blood,2015/12/03
Homo sapiens,Cape Verde,blood,2015/11/27
Homo sapiens,Cape Verde,urine,2016/06/04
Homo sapiens,Colombia,blood,2016/01/16
Homo sapiens,Colombia,blood,2016/01/07
Homo sapiens,Colombia,blood,2016/01/10
Homo sapiens,Colombia,blood,2016/01/06
Homo sapiens,Colombia,blood,2016/01/09
Homo sapiens,Cuba,urine,2017/09/24
Homo sapiens,Cuba,blood,2017/07/17
Homo sapiens,Cuba,blood,2017/08/13
Homo sapiens,USA,"saliva,oronasopharynx",2017/04/19
Homo sapiens,Mexico,brain,2016/11/24
Homo sapiens,USA,"saliva,oronasopharynx",2016/08/24
Homo sapiens,USA,"saliva,oronasopharynx",2016/03/22
Homo sapiens,USA,urine,2016/06/21
Homo sapiens,USA,urine,2016/06/22
Homo sapiens,USA,urine,2016/07/03
Homo sapiens,USA,urine,2016/07/19
Homo sapiens,USA,urine,2016/07/16
Homo sapiens,USA,urine,2016/08/02
Homo sapiens,USA,urine,2016/08/05
Homo sapiens,USA,blood,2016/08/04
Homo sapiens,USA,urine,2016/08/05
Homo sapiens,USA,urine,2016/08/17
Macaca mulatta,Uganda,"kidney,abdominal cavity",1947/04/20
Homo sapiens,Suriname,,2016/02/11
Homo sapiens,China,blood,2016/02/14
Homo sapiens,China,,2016/02/16
Homo sapiens,China,,2016/02
Homo sapiens,China,,2016/02
Homo sapiens,China,,2016/02/17
Homo sapiens,China,,2016/02/17
Homo sapiens,China,,2016/11/03
Homo sapiens,Singapore,urine,2016/08/27
Homo sapiens,Singapore,urine,2016/08/28
Homo sapiens,Singapore,blood,2016/09/01
Homo sapiens,China,,2016/02/16
Homo sapiens,China,,2016/04/16
Homo sapiens,China,,2016/04/16
Homo sapiens,Brazil,sperm,
Homo sapiens,China,,2016/02/17
Aedes aegypti,USA,pooled insects,2016/08/22
Aedes aegypti,USA,pooled insects,2016/08/23
Aedes aegypti,USA,pooled insects,2016/08/23
Aedes aegypti,USA,pooled insects,2016/09/04
Aedes aegypti,USA,pooled insects,2016/09/09
Aedes aegypti,USA,pooled insects,2016/09/20
Aedes aegypti,USA,pooled insects,2016/10/05
Aedes africanus,Senegal,"kidney,abdominal cavity",1984/11/20
Aedes africanus,Senegal,,1984
Aedes taylori,Senegal,"kidney,abdominal cavity",1984/12/06
Aedes taylori,Senegal,"kidney,abdominal cavity",1984/12/14
Aedes taylori,Senegal,,1984/06/12
Homo sapiens,China,,2016/02/17
Homo sapiens,China,blood,2016/02/25
Homo sapiens,Cambodia,"kidney,abdominal cavity",2010
Homo sapiens,Philippines,,2012/05/09
Homo sapiens,Panama,blood,2015
Homo sapiens,Panama,blood,2015
Homo sapiens,Panama,blood,2015
Homo sapiens,Puerto Rico,blood,2015
Homo sapiens,Thailand,,2014/07/19
Homo sapiens,Brazil,blood,2016/04/05
Homo sapiens,Brazil,blood,2016/04/08
Homo sapiens,Brazil,blood,2016/04/12
Homo sapiens,Brazil,urine,2016/04/12
Homo sapiens,Brazil,urine,2016/04/13
Homo sapiens,Brazil,blood,2016/04/14
Homo sapiens,Brazil,blood,2016/04/15
Homo sapiens,Brazil,urine,2016/04/18
Homo sapiens,Brazil,urine,2016/03/21
Homo sapiens,Brazil,urine,2016/03/23
Homo sapiens,Brazil,blood,2016/03/28
Homo sapiens,Brazil,blood,2016/03/30
Homo sapiens,Brazil,urine,2016/03/30
Homo sapiens,Brazil,urine,2016/04/06
Homo sapiens,Brazil,urine,2016/04/04
Homo sapiens,Brazil,sperm,2016/04/26
Homo sapiens,Brazil,urine,2016/04/26
Homo sapiens,Brazil,sperm,2016/05/10
Homo sapiens,Brazil,sperm,2016/05/17
Homo sapiens,Brazil,sperm,2016/05/24
Homo sapiens,Brazil,sperm,2016/06/03
Homo sapiens,Brazil,sperm,2016/06/08
Homo sapiens,Brazil,sperm,2016/06/16
Homo sapiens,Brazil,sperm,2016/06/28
Homo sapiens,Brazil,sperm,2016/07/05
Homo sapiens,Brazil,sperm,2016/07/12
Homo sapiens,Brazil,sperm,2016/07/19
Homo sapiens,Brazil,sperm,2016/07/27
Homo sapiens,Brazil,sperm,2016/04/19
Homo sapiens,Brazil,urine,2016/04/19
Homo sapiens,Brazil,urine,2016/05/05
